source.name,author,size
ARTnews,Harrison Jacobs,1
Ambcrypto.com,AMBCrypto Team,5
Biztoc.com,ankr.com,1
Biztoc.com,beincrypto.com,1
Biztoc.com,coindesk.com,1
Biztoc.com,coinjournal.net,2
Biztoc.com,coinpedia.org,2
Biztoc.com,coinspeaker.com,1
Biztoc.com,cryptonews.com,1
Biztoc.com,cryptopotato.com,1
Biztoc.com,cryptoslate.com,1
CoinDesk,Bradley Keoun,4
CoinDesk,Danny Nelson,1
CoinDesk,"Lyllah Ledesma, Omkar Godbole",1
CoinDesk,Will Canny,1
Coinjournal.net,Chainwire,2
Coinjournal.net,Hassan Maishera,2
Coinjournal.net,News Team,1
CryptoSlate,Bill Liang,1
CryptoSlate,Liam 'Akiba' Wright,3
CryptoSlate,Oluwapelumi Adejumo,2
CryptoSlate,Sonia Shaw,1
Cryptocurrencyjobs.co,Daniel 🛡️,1
Cryptocynews.com,Eric Lee,1
Decrypt,Andrew Hayward,2
Decrypt,Jose Antonio Lanz,2
Dothewoo.io,BobWP,1
Financial Post,GlobeNewswire,1
Finextra,Editorial Team,1
Finovate.com,David Penn,1
Forbes,"Billy Bambrough, Senior Contributor, 
 Billy Bambrough, Senior Contributor
 https://www.forbes.com/sites/billybambrough/",2
Forbes,"Cleve Mesidor, Contributor, 
 Cleve Mesidor, Contributor
 https://www.forbes.com/sites/clevemesidor/",1
Forbes,"John Hyatt, Forbes Staff, 
 John Hyatt, Forbes Staff
 https://www.forbes.com/sites/johnhyatt/",1
Forbes,"Lawrence Wintermeyer, Contributor, 
 Lawrence Wintermeyer, Contributor
 https://www.forbes.com/sites/lawrencewintermeyer/",1
Forbes,"Max (Chong) Li, Contributor, 
 Max (Chong) Li, Contributor
 https://www.forbes.com/sites/maxli/",1
Forbes,"Sandy Carter, Contributor, 
 Sandy Carter, Contributor
 https://www.forbes.com/sites/sandycarter/",1
Forbes,"Zenger News, Contributor, 
 Zenger News, Contributor
 https://www.forbes.com/sites/zengernews/",2
Gadgets360.com,"Radhika Parashar, Siddharth Suvarna",2
GlobeNewswire,AINN Layer2,1
GlobeNewswire,Aryze,1
GlobeNewswire,Metasphere Labs Inc.,1
GlobeNewswire,Particle Network,1
GlobeNewswire,Zulu Network,1
HackRead,Daily Contributors,1
International Business Times,Marvie Basilan,7
Investing.com,Chainwire,2
Investing.com,Investing.com,1
Investing.com,Reuters,1
InvestorsObserver,InvestorsObserver,1
NerdWallet,Alana Benson,1
Project Syndicate,Paolo Tasca,1
SiliconANGLE News,Kyt Dotson,1
TechCrunch,Jacquelyn Melinek,1
Techreport.com,Nick Dunn,1
The Daily Hodl,Mehron Rokhy,1
The Times of India,Reuters,2
The Times of India,Vikram Subburaj,1
TheBlaze,Jon Stokes,1
VentureBeat,Dean Takahashi,1
ZyCrypto,PR DESK,2
newsBTC,Jake Simmons,2
pymnts.com,PYMNTS,2
